ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,fields_json,exception
2026-01-16T01:31:54.089734+00:00,1768527114.089734,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:53Z  KXBTC15M-26JAN152045-45  tte=13m06s  spot=$95734.81  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=85.66%  mkt=86.00%  EV_yes=-1.34%  EV_no=-3.66%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95734.81,95608.4,,786,taker,,,,,,,0.8566099405288696,0.14339005947113037,0.86,0.17,signal,,,,,,01:31:53Z  KXBTC15M-26JAN152045-45  tte=13m06s  spot=$95734.81  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=85.66%  mkt=86.00%  EV_yes=-1.34%  EV_no=-3.66%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.17, ""market_p_yes"": 0.86, ""mode"": ""taker"", ""p_no"": 0.14339005947113037, ""p_yes"": 0.8566099405288696, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95734.81, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 786}",
2026-01-16T01:32:00.373419+00:00,1768527120.373419,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:32:00.429040+00:00,1768527120.429040,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:59Z  KXBTC15M-26JAN152045-45  tte=13m00s  spot=$95713.99  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=82.96%  mkt=81.00%  EV_yes=-0.04%  EV_no=-5.96%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95713.99,95608.4,,780,taker,,,,,,,0.8295763731002808,0.17042362689971924,0.81,0.21,signal,,,,,,01:31:59Z  KXBTC15M-26JAN152045-45  tte=13m00s  spot=$95713.99  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=82.96%  mkt=81.00%  EV_yes=-0.04%  EV_no=-5.96%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.21, ""market_p_yes"": 0.81, ""mode"": ""taker"", ""p_no"": 0.17042362689971924, ""p_yes"": 0.8295763731002808, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95713.99, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 780}",
2026-01-16T01:32:06.475264+00:00,1768527126.475264,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:32:06.530776+00:00,1768527126.530776,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:32:05Z  KXBTC15M-26JAN152045-45  tte=12m54s  spot=$95710.03  strike=$95608.40  fee_mode=taker  fee/c=$0.0200  p_up=83.38%  mkt=79.00%  EV_yes=2.38%  EV_no=-7.38%  decision=YES  kelly=2.08%  qty=0,,KXBTC15M-26JAN152045-45,,,YES,0.020844407308669308,0,,,95710.03,95608.4,,774,taker,,,0.02,,,0.02377325534820553,0.8337732553482056,0.16622674465179443,0.79,0.22,signal,,,,,,01:32:05Z  KXBTC15M-26JAN152045-45  tte=12m54s  spot=$95710.03  strike=$95608.40  fee_mode=taker  fee/c=$0.0200  p_up=83.38%  mkt=79.00%  EV_yes=2.38%  EV_no=-7.38%  decision=YES  kelly=2.08%  qty=0,,,,,,,,,,,,,,,,,,,,"{""decision"": ""YES"", ""ev_after_fees"": 0.02377325534820553, ""fee_per_contract"": 0.02, ""kelly_fraction"": 0.020844407308669308, ""market_p_no"": 0.22, ""market_p_yes"": 0.79, ""mode"": ""taker"", ""p_no"": 0.16622674465179443, ""p_yes"": 0.8337732553482056, ""qty"": 0, ""reason"": ""signal"", ""spot_usd"": 95710.03, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 774}",
2026-01-16T01:32:12.650862+00:00,1768527132.650862,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:32:12.701240+00:00,1768527132.701240,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:32:12Z  KXBTC15M-26JAN152045-45  tte=12m47s  spot=$95719.42  strike=$95608.40  fee_mode=taker  fee/c=$0.0200  p_up=84.29%  mkt=82.00%  EV_yes=0.29%  EV_no=-5.29%  decision=YES  kelly=1.27%  qty=0,,KXBTC15M-26JAN152045-45,,,YES,0.01272654798295765,0,,,95719.42,95608.4,,767,taker,,,0.02,,,0.002907786369323779,0.8429077863693237,0.15709221363067627,0.82,0.19,signal,,,,,,01:32:12Z  KXBTC15M-26JAN152045-45  tte=12m47s  spot=$95719.42  strike=$95608.40  fee_mode=taker  fee/c=$0.0200  p_up=84.29%  mkt=82.00%  EV_yes=0.29%  EV_no=-5.29%  decision=YES  kelly=1.27%  qty=0,,,,,,,,,,,,,,,,,,,,"{""decision"": ""YES"", ""ev_after_fees"": 0.002907786369323779, ""fee_per_contract"": 0.02, ""kelly_fraction"": 0.01272654798295765, ""market_p_no"": 0.19, ""market_p_yes"": 0.82, ""mode"": ""taker"", ""p_no"": 0.15709221363067627, ""p_yes"": 0.8429077863693237, ""qty"": 0, ""reason"": ""signal"", ""spot_usd"": 95719.42, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 767}",
2026-01-16T01:32:18.576369+00:00,1768527138.576369,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:32:18.628624+00:00,1768527138.628624,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:32:18Z  KXBTC15M-26JAN152045-45  tte=12m41s  spot=$95740.69  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=87.17%  mkt=85.00%  EV_yes=1.17%  EV_no=-5.17%  decision=YES  kelly=1.45%  qty=0,,KXBTC15M-26JAN152045-45,,,YES,0.0144649108250936,0,,,95740.69,95608.4,,761,taker,,,0.01,,,0.011697366237640403,0.8716973662376404,0.12830263376235962,0.85,0.17,signal,,,,,,01:32:18Z  KXBTC15M-26JAN152045-45  tte=12m41s  spot=$95740.69  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=87.17%  mkt=85.00%  EV_yes=1.17%  EV_no=-5.17%  decision=YES  kelly=1.45%  qty=0,,,,,,,,,,,,,,,,,,,,"{""decision"": ""YES"", ""ev_after_fees"": 0.011697366237640403, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.0144649108250936, ""market_p_no"": 0.17, ""market_p_yes"": 0.85, ""mode"": ""taker"", ""p_no"": 0.12830263376235962, ""p_yes"": 0.8716973662376404, ""qty"": 0, ""reason"": ""signal"", ""spot_usd"": 95740.69, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 761}",
2026-01-16T01:32:24.601913+00:00,1768527144.601913,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
