ticker,realized_pnl_usd,is_win,gross_payout_usd,gross_cost_usd,fee_cost,yes_count,no_count,paired_count,net_count,market_result,early_sell_contracts,early_sell_lost_usd,early_sell_saved_usd,settled_ts
KXBTC15M-26JAN160445-45,1.0699999999999998,True,4.0,2.86,0.07,0,4,0,4,no,0,0.0,0.0,2026-01-16 09:46:43.560682+00:00
KXBTC15M-26JAN160430-30,0.03,True,9.0,8.85,0.12,4,9,4,5,no,4,0.0,0.03,2026-01-16 09:31:53.556672+00:00
KXBTC15M-26JAN160415-15,0.01999999999999999,True,8.0,7.84,0.14,8,3,3,5,yes,3,0.0,0.01999999999999999,2026-01-16 09:16:43.555807+00:00
KXBTC15M-26JAN160400-00,1.66,True,5.0,3.24,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 09:02:03.558906+00:00
KXBTC15M-26JAN160345-45,1.3199999999999998,True,4.0,2.6,0.08,0,4,0,4,no,0,0.0,0.0,2026-01-16 08:46:43.556384+00:00
KXBTC15M-26JAN160330-30,-1.7599999999999998,False,5.0,6.64,0.12,5,5,5,0,yes,5,0.0,1.7599999999999998,2026-01-16 08:31:53.559473+00:00
KXBTC15M-26JAN160315-15,-1.63,False,8.0,9.47,0.16,8,5,5,3,yes,5,0.0,1.63,2026-01-16 08:17:33.558894+00:00
KXBTC15M-26JAN160300-00,-1.37,False,0.0,1.27,0.1,0,5,0,5,yes,0,0.0,0.0,2026-01-16 08:16:45.507066+00:00
KXBTC15M-26JAN160245-45,0.26,True,1.0,0.72,0.02,0,1,0,1,no,0,0.0,0.0,2026-01-16 07:46:43.557970+00:00
KXBTC15M-26JAN160230-30,1.41,True,5.0,3.49,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 07:31:53.603819+00:00
KXBTC15M-26JAN160215-15,-0.78,False,10.0,10.54,0.24,5,10,5,5,no,5,0.0,0.78,2026-01-16 07:16:43.562536+00:00
KXBTC15M-26JAN160200-00,-1.7999999999999998,False,9.0,10.63,0.17,9,5,5,4,yes,5,0.0,1.7999999999999998,2026-01-16 07:01:53.559242+00:00
KXBTC15M-26JAN160145-45,-3.04,False,0.0,2.94,0.1,0,5,0,5,yes,0,0.0,0.0,2026-01-16 06:46:53.559485+00:00
KXBTC15M-26JAN160130-30,-1.9100000000000001,False,3.0,4.8,0.11,3,5,3,2,yes,3,0.0,1.9100000000000001,2026-01-16 06:32:03.560001+00:00
KXBTC15M-26JAN160115-15,0.76,True,10.0,8.97,0.27,5,10,5,5,no,5,0.0,0.76,2026-01-16 06:16:43.555500+00:00
KXBTC15M-26JAN160100-00,2.08,True,5.0,2.82,0.1,5,0,0,5,yes,0,0.0,0.0,2026-01-16 06:01:53.558382+00:00
KXBTC15M-26JAN160045-45,1.16,True,3.0,1.78,0.06,3,0,0,3,yes,0,0.0,0.0,2026-01-16 05:46:43.556762+00:00
KXBTC15M-26JAN160030-30,1.19,True,9.0,7.56,0.25,4,9,4,5,no,4,0.0,1.19,2026-01-16 05:31:53.555361+00:00
KXBTC15M-26JAN160015-15,0.17,True,1.0,0.81,0.02,1,0,0,1,yes,0,0.0,0.0,2026-01-16 05:16:43.554460+00:00
KXBTC15M-26JAN160000-00,0.69,True,2.0,1.27,0.04,0,2,0,2,no,0,0.0,0.0,2026-01-16 05:02:03.610532+00:00
KXBTC15M-26JAN152345-45,-0.8200000000000001,False,0.0,0.77,0.05,5,0,0,5,no,0,0.0,0.0,2026-01-16 04:47:33.552915+00:00
