ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,fields_json,exception
2026-01-16T01:38:50.677405+00:00,1768527530.677405,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$1.00,,,,,,,,,,,,,,,,,,16.07,1.0,,,,,,balance,,,,,,16.07,1.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 1.0, ""reason"": ""balance""}",
2026-01-16T01:38:50.733304+00:00,1768527530.733304,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:38:50Z  KXBTC15M-26JAN152045-45  tte=6m09s  spot=$95669.54  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=86.00%  EV_yes=-21.15%  EV_no=17.15%  decision=NO  kelly=2.16%  qty=2,,KXBTC15M-26JAN152045-45,,,NO,0.02160209587642125,2,,,95669.54,95608.4,,369,taker,,,0.01,,,0.17145760536193846,0.6585423946380615,0.3414576053619385,0.86,0.16,signal,,,,,,01:38:50Z  KXBTC15M-26JAN152045-45  tte=6m09s  spot=$95669.54  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=86.00%  EV_yes=-21.15%  EV_no=17.15%  decision=NO  kelly=2.16%  qty=2,,,,,,,,,,,,,,,,,,,,"{""decision"": ""NO"", ""ev_after_fees"": 0.17145760536193846, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.02160209587642125, ""market_p_no"": 0.16, ""market_p_yes"": 0.86, ""mode"": ""taker"", ""p_no"": 0.3414576053619385, ""p_yes"": 0.6585423946380615, ""qty"": 2, ""reason"": ""signal"", ""spot_usd"": 95669.54, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 369}",
2026-01-16T01:38:50.733637+00:00,1768527530.733637,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=2 price=16c (risk_block total_abs_contracts=7 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,2,16,risk_block total_abs_contracts=7 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
2026-01-16T01:38:56.673750+00:00,1768527536.673750,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$1.05,,,,,,,,,,,,,,,,,,16.07,1.05,,,,,,balance,,,,,,16.07,1.05,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 1.05, ""reason"": ""balance""}",
2026-01-16T01:38:56.722270+00:00,1768527536.722270,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:38:56Z  KXBTC15M-26JAN152045-45  tte=6m03s  spot=$95669.55  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=87.00%  EV_yes=-22.15%  EV_no=17.15%  decision=NO  kelly=2.16%  qty=2,,KXBTC15M-26JAN152045-45,,,NO,0.02160209587642125,2,,,95669.55,95608.4,,363,taker,,,0.01,,,0.17145760536193846,0.6585423946380615,0.3414576053619385,0.87,0.16,signal,,,,,,01:38:56Z  KXBTC15M-26JAN152045-45  tte=6m03s  spot=$95669.55  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=87.00%  EV_yes=-22.15%  EV_no=17.15%  decision=NO  kelly=2.16%  qty=2,,,,,,,,,,,,,,,,,,,,"{""decision"": ""NO"", ""ev_after_fees"": 0.17145760536193846, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.02160209587642125, ""market_p_no"": 0.16, ""market_p_yes"": 0.87, ""mode"": ""taker"", ""p_no"": 0.3414576053619385, ""p_yes"": 0.6585423946380615, ""qty"": 2, ""reason"": ""signal"", ""spot_usd"": 95669.55, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 363}",
2026-01-16T01:38:56.722623+00:00,1768527536.722623,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=2 price=16c (risk_block total_abs_contracts=7 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,2,16,risk_block total_abs_contracts=7 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
2026-01-16T01:39:02.731245+00:00,1768527542.731245,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$0.70,,,,,,,,,,,,,,,,,,16.07,0.7,,,,,,balance,,,,,,16.07,0.7,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 0.7, ""reason"": ""balance""}",
2026-01-16T01:39:02.792194+00:00,1768527542.792194,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:39:02Z  KXBTC15M-26JAN152045-45  tte=5m57s  spot=$95700.88  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=79.59%  mkt=92.00%  EV_yes=-13.41%  EV_no=9.41%  decision=NO  kelly=1.16%  qty=1,,KXBTC15M-26JAN152045-45,,,NO,0.011570674843258327,1,,,95700.88,95608.4,,357,taker,,,0.01,,,0.09413607358932495,0.795863926410675,0.20413607358932495,0.92,0.1,signal,,,,,,01:39:02Z  KXBTC15M-26JAN152045-45  tte=5m57s  spot=$95700.88  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=79.59%  mkt=92.00%  EV_yes=-13.41%  EV_no=9.41%  decision=NO  kelly=1.16%  qty=1,,,,,,,,,,,,,,,,,,,,"{""decision"": ""NO"", ""ev_after_fees"": 0.09413607358932495, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.011570674843258327, ""market_p_no"": 0.1, ""market_p_yes"": 0.92, ""mode"": ""taker"", ""p_no"": 0.20413607358932495, ""p_yes"": 0.795863926410675, ""qty"": 1, ""reason"": ""signal"", ""spot_usd"": 95700.88, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 357}",
2026-01-16T01:39:02.792581+00:00,1768527542.792581,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=1 price=10c (risk_block total_abs_contracts=6 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,1,10,risk_block total_abs_contracts=6 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
2026-01-16T01:39:08.959170+00:00,1768527548.959170,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$0.55,,,,,,,,,,,,,,,,,,16.07,0.55,,,,,,balance,,,,,,16.07,0.55,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 0.55, ""reason"": ""balance""}",
